# Densities Buffer Dump - 46875 elements
# Index,Value
1318,30.01379
1319,29.98773
1320,29.9395
1321,28.41428
1322,29.31929
1323,8.676126
1324,8.071939
1325,6.695154
1326,3.210898
1327,24.60578
1328,24.60562
1329,16.39703
1330,25.00879
1331,22.44829
1332,1E-07
1333,24.96048
1334,24.96043
1335,24.71544
1336,24.77533
1337,0.3820969
1338,29.04427
1339,29.0452
1340,28.89557
1341,28.20279
1342,28.20327
1343,28.68972
1344,1.466793
1345,1.787316
1346,20.22355
1347,25.1022
1348,24.2089
1349,25.13742
1350,24.94206
1351,25.13161
1352,25.01768
1353,20.22301
1354,24.71972
1355,25.0601
1356,25.17839
1357,23.00162
1358,25.4164
1359,25.13804
1360,25.49258
1361,25.32314
1362,25.05989
1363,0.7396175
1364,0.6906108
1365,2.786696
1366,9.258196
1367,30.13885
1368,28.20203
1369,29.36602
1370,28.73615
1371,28.20271
1372,28.73713
1373,28.93352
1374,0.7908273
1375,0.7678191
1376,25.11296
1377,24.74173
1378,25.06013
1379,25.22454
1380,25.4663
1381,24.31325
1382,25.02259
1383,25.57868
1384,25.02239
1385,25.60718
1386,21.03554
1387,26.12052
1388,2.007865
1389,1.146559
1390,1.541944
1391,2.399
1392,0.6609311
1393,29.62014
1394,28.55704
1395,28.55697
1396,29.14542
1397,29.05092
1398,29.71848
1399,30.0884
1400,0.5980335
1401,0.5297984
1402,0.6863341
1403,25.29697
1404,25.29615
1405,23.76851
1406,25.07929
1407,25.27777
1408,25.20172
1409,25.08975
1410,25.28508
1411,25.11393
1412,25.21096
1413,25.08209
1414,1E-07
1415,25.40371
1416,25.4038
1417,25.71989
1418,25.99826
1419,25.50589
1420,25.921
1421,24.88155
1422,1.650779
1423,1.714313
1424,1.068017
1425,2.621671
1426,31.19095
1427,30.05196
1428,28.43969
1429,31.47514
1430,29.61394
1431,29.05523
1432,28.23606
1433,29.79774
1434,29.72696
1435,8.016869
1436,1.659315
1437,20.01584
1438,25.56577
1439,25.61611
1440,25.59641
1441,25.52389
1442,25.61678
1443,25.56613
1444,25.51687
1445,25.51706
1446,26.02682
1447,25.42223
1448,25.4378
1449,25.64759
1450,25.438
1451,25.85728
1452,25.70158
1453,1.793053
1454,0.09700973
1455,33.25136
1456,32.24684
1457,32.24674
1458,31.89865
1459,33.25093
1460,31.89859
1461,29.25194
1462,22.25706
1463,24.26277
1464,25.9047
1465,22.66392
1466,23.66982
1467,25.70622
1468,25.40571
1469,25.83246
1470,25.40564
1471,26.14239
1472,1.224865
1473,0.7557864
1474,0.2168967
1475,0.5602781
1476,25.51103
1477,25.51106
1478,25.63254
1479,25.76803
1480,25.52945
1481,25.63265
1482,25.72581
1483,0.418035
1484,0.008917629
1485,4.759795
1486,0.4157975
1487,0.1934142
1488,25.52399
1489,25.97782
1490,25.65812
1491,25.56314
1492,25.30839
1493,26.02706
1494,25.65165
1495,25.84067
1496,0.4367769
1497,20.73374
1498,20.73459
1499,0.3111711
1500,4.503646
1501,2.626595
1502,0.4415765
1503,25.72915
1504,25.51403
1505,25.55255
1506,25.95677
1507,26.01311
1508,25.69229
1509,26.00091
1510,26.0783
1511,0.9627226
1512,2.591766
1513,25.34752
1514,25.23674
1515,25.44988
1516,25.4488
1517,25.37082
1518,25.51019
1519,25.34725
1520,24.6776
1521,8.815352
1522,21.52096
1523,24.67646
1524,1.042754
1525,1.114826
1526,0.294782
1527,26.36349
1528,26.89103
1529,26.28405
1530,22.84936
1531,20.45006
1532,10.15785
1533,20.53631
1534,22.95385
1535,13.48866
1536,17.71258
1537,18.51343
1538,25.1004
1539,18.51216
1540,25.10099
1541,25.1998
1542,23.25506
1543,25.20029
1544,22.96741
1545,22.96832
1546,22.96745
1547,25.24971
1548,24.77006
1549,25.0705
1550,25.24971
1551,24.65963
1552,0.1409571
1553,0.01396347
1554,23.77221
1555,25.11136
1556,25.09655
1557,25.09693
1558,25.04199
1559,25.17896
1560,25.12631
1561,25.04327
1562,0.8046833
1563,13.94842
1564,13.94757
1565,13.8027
1566,13.80314
1567,25.13885
1568,25.25496
1569,25.0195
1570,25.13883
1571,25.22427
1572,25.01712
1573,0.1380799
1574,0.3247057
1575,23.47559
1576,25.12164
1577,25.1141
1578,25.10364
1579,23.98017
1580,25.1218
1581,25.10996
1582,25.12175
1583,25.08699
1584,25.08705
1585,25.21113
1586,25.2111
1587,14.33604
1588,13.82851
1589,25.06164
1590,25.09512
1591,25.09514
1592,25.28091
1593,25.2475
1594,24.92924
1595,25.09157
1596,25.01866
1597,1.473292
1598,0.3145223
1599,0.4356973
1600,0.2956774
1601,0.2128488
1602,23.05395
1603,25.11434
1604,25.11355
1605,25.07265
1606,25.07315
1607,25.07282
1608,24.91463
1609,25.18621
1610,25.36514
1611,25.47976
1612,25.18608
1613,25.36201
1614,25.20597
1615,25.37385
1616,0.1184421
1617,25.15519
1618,25.18631
1619,25.1609
1620,25.1594
1621,25.15504
1622,0.005240141
1623,25.21337
1624,24.76763
1625,25.09052
1626,25.22065
1627,24.97517
1628,24.97552
1629,25.17503
1630,25.23919
1631,24.61256
1632,25.17467
1633,25.17047
1634,25.17125
1635,1.958933
1636,2.163158
1637,26.43816
1638,26.29982
1639,26.51011
1640,26.38023
1641,26.29914
1642,26.10252
1643,26.12475
1644,4.907678
1645,5.476512
1646,4.569543
1647,8.504269
1648,2.637549
1649,0.04679639
1650,25.19136
1651,24.09935
1652,25.19132
1653,25.32834
1654,25.31753
1655,25.4269
1656,25.28459
1657,25.42309
1658,0.2690945
1659,18.31049
1660,18.31018
1661,13.7386
1662,13.73798
1663,2.777215
1664,12.028
1665,9.636727
1666,1.025155
1667,0.0026117
1668,25.22951
1669,25.40248
1670,25.3357
1671,25.5453
1672,25.57749
1673,24.6293
1674,25.26621
1675,25.33348
1676,25.31573
1677,20.18477
1678,20.55173
1679,9.797976
1680,4.167006
1681,19.01678
1682,17.12546
1683,18.84884
1684,10.72071
1685,0.01344211
1686,25.38853
1687,25.47432
1688,25.29147
1689,25.30477
1690,25.30501
1691,25.29133
1692,25.13384
1693,25.13424
1694,25.3876
1695,10.57086
1696,6.448643
1697,1.219512
1698,12.21943
1699,1.683865
1700,0.1889756
1701,0.74971
1702,25.59673
1703,25.597
1704,25.01805
1705,25.69289
1706,25.24932
1707,25.52623
1708,25.52581
1709,25.25024
1710,4.338511
1711,11.4483
1712,0.7859797
1713,3.44057
1714,22.01971
1715,7.62866
1716,8.036533
1717,6.23509
1718,6.526489
1719,26.27061
1720,25.9045
1721,25.78793
1722,25.70541
1723,25.82364
1724,25.90511
1725,25.94688
1726,14.2682
1727,14.24735
1728,2.210241
1729,0.08315008
1730,0.001470266
1731,25.73105
1732,25.84117
1733,25.63638
1734,25.55182
1735,23.71057
1736,25.55169
1737,25.63734
1738,25.77575
1739,25.43154
1740,25.32275
1741,25.42849
1742,9.413777
1743,5.578459
1744,7.947567
1745,9.591233
1746,0.9756503
1747,0.9545779
1748,25.04183
1749,25.04102
1750,21.21069
1751,21.20671
1752,24.91291
1753,9.368014
1754,7.398576
1755,17.83221
1756,17.10057
1757,8.704742
1758,13.08475
1759,12.78339
1760,17.83176
1761,0.05520023
1762,0.05489133
1763,25.62052
1764,25.30646
1765,25.30665
1766,25.09088
1767,25.57218
1768,25.6589
1769,24.83384
1770,25.6325
1771,25.80346
1772,26.36361
1773,25.81374
1774,25.42202
1775,25.77351
1776,25.77333
1777,25.63178
1778,3.612201
1779,8.733258
1780,6.817983
1781,7.060146
1782,0.840431
1783,0.9146174
1784,25.11436
1785,25.31273
1786,25.20434
1787,25.13959
1788,25.65211
1789,23.8806
1790,25.12387
1791,5.22623
1792,4.687091
1793,11.86987
1794,11.87263
1795,6.283067
1796,17.79924
1797,17.80714
1798,0.01472715
1799,25.54894
1800,25.6047
1801,25.70179
1802,25.54925
1803,23.94745
1804,25.60482
1805,25.94383
1806,24.36723
1807,10.70538
1808,6.382755
1809,10.34686
1810,7.833844
1811,1.300653
1812,25.09479
1813,25.09492
1814,22.06555
1815,25.04316
1816,22.0659
1817,25.04315
1818,25.02969
1819,24.89992
1820,24.89555
1821,24.71622
1822,25.02894
1823,25.03712
1824,25.02935
1825,25.19447
1826,22.32366
1827,24.90567
1828,11.63322
1829,11.63417
1830,11.38412
1831,11.36228
1832,0.04853887
1833,2.98894
1834,0.285964
1835,0.2497867
1836,22.73951
1837,27.30826
1838,24.05204
1839,17.29122
1840,27.30664
1841,22.73744
1842,19.72001
1843,40.05037
1844,2.404237
1845,5.611859
1846,6.675074
