# Velocities Buffer Dump - 15625 elements
# Index,X,Y,Z,Magnitude
461,1.727311,1.416884,4.473124,5
462,4.53715,-1.454673,0.272478,4.772426
463,-2.768492,-1.367721,3.932529,5
464,3.590487,2.89939,-1.519614,4.858733
465,4.457343,-1.677892,-0.4127585,4.780544
466,1.471023,4.738667,0.3838605,4.976568
467,0.494692,0.06016577,0.713472,0.8702772
468,0.3383445,-0.4798287,0.6621357,0.8849499
469,1.007235,-0.4875982,0.584546,1.262524
470,1.190511,-0.3640528,0.8841763,1.526964
471,0.843249,0.6116343,0.4822656,1.147931
472,0.750654,0.09987341,0.7287447,1.050964
473,1.006154,-0.4880599,0.5867743,1.262875
474,0.788799,0.1574699,0.1948528,0.8276281
475,4.635541,1.854281,0.2709328,5
476,-1.12016,2.030112,-4.429886,5
477,3.654024,3.409674,0.1490862,5
478,3.06461,3.462359,-1.902692,5
479,0.6774707,4.756594,1.384142,5
480,-0.7861139,0.001114308,0.8203757,1.136219
481,-0.7090421,0.04441721,0.9517756,1.187683
482,-0.6405926,0.04253253,0.8242671,1.044789
483,-0.8004842,0.006807503,0.8777642,1.187978
484,-0.6411625,0.04337481,0.9613459,1.156355
485,0.04278097,0.7048247,1.06023,1.273851
486,0.1432975,0.3897912,1.08822,1.164773
487,0.1491399,0.6157279,1.344315,1.486118
488,-0.09380319,0.3481066,1.171908,1.22611
489,-0.1117083,0.3024454,1.506934,1.541039
490,-0.02066561,0.3832364,1.461254,1.510814
491,0.05118671,0.6379838,1.350393,1.494391
492,0.05151256,0.6408588,1.347068,1.492631
493,-0.09371094,0.3515799,1.172893,1.228034
494,0.1520487,0.6206874,1.342585,1.486911
495,1.720578,-2.676324,3.857059,5
496,0.4478957,0.3271803,4.969139,5
497,-0.9758866,-1.686291,4.604787,5
498,-3.521338,-2.262059,-2.735556,5
499,2.820462,1.900378,3.546004,4.913308
500,4.179834,2.336521,0.4268595,4.807551
501,2.685096,3.56724,2.070306,4.921494
502,0.09352046,4.870319,1.127496,5
503,-4.152592,2.156677,-1.762022,5
504,-2.414438,4.050248,-1.663124,5
505,-0.5366703,3.962132,3.002249,5
506,3.93024,2.178528,-1.77157,4.830242
507,3.97609,1.986477,-1.88061,4.826186
508,0.2650494,0.6390665,0.1671044,0.711745
509,3.246889,0.7443839,-0.4081087,3.356031
510,0.266178,0.6394484,0.169683,0.713118
511,2.233059,-0.825214,-0.06219282,2.381469
512,2.231944,-0.824739,-0.06308542,2.380283
